"year";"plot";"subplot";"species";"individuals"
2015;3;"A6";"BEMA";0
2016;3;"A6";"BEMA";2
2017;3;"A6";"BEMA";3
2019;3;"A6";"BEMA";0
2015;4;"A6";"BEMA";0
2016;4;"A6";"BEMA";6
2017;4;"A6";"BEMA";0
2019;4;"A6";"BEMA";0
2015;5;"A6";"BEMA";0
2016;5;"A6";"BEMA";0
2017;5;"A6";"BEMA";0
2019;5;"A6";"BEMA";0
2015;6;"A6";"BEMA";0
2016;6;"A6";"BEMA";3
2017;6;"A6";"BEMA";0
2019;6;"A6";"BEMA";0
2015;7;"A6";"BEMA";0
2016;7;"A6";"BEMA";6
2017;7;"A6";"BEMA";1
2019;7;"A6";"BEMA";10
2015;8;"A6";"BEMA";0
2016;8;"A6";"BEMA";12
2017;8;"A6";"BEMA";0
2019;8;"A6";"BEMA";15
2015;9;"A6";"BEMA";0
2016;9;"A6";"BEMA";10
2017;9;"A6";"BEMA";0
2019;9;"A6";"BEMA";0
2015;1;"B1";"BEMA";4
2016;1;"B1";"BEMA";3
2017;1;"B1";"BEMA";3
2019;1;"B1";"BEMA";0
2015;2;"B1";"BEMA";0
2016;2;"B1";"BEMA";4
2017;2;"B1";"BEMA";0
2019;2;"B1";"BEMA";0
2015;3;"B1";"BEMA";0
2016;3;"B1";"BEMA";3
2017;3;"B1";"BEMA";0
2019;3;"B1";"BEMA";0
2015;4;"B1";"BEMA";0
2016;4;"B1";"BEMA";1
2017;4;"B1";"BEMA";0
2019;4;"B1";"BEMA";0
2015;5;"B1";"BEMA";0
2016;5;"B1";"BEMA";2
2017;5;"B1";"BEMA";0
2019;5;"B1";"BEMA";0
2015;6;"B1";"BEMA";1
2016;6;"B1";"BEMA";1
2017;6;"B1";"BEMA";0
2019;6;"B1";"BEMA";0
2015;7;"B1";"BEMA";0
2016;7;"B1";"BEMA";5
2017;7;"B1";"BEMA";0
2019;7;"B1";"BEMA";10
2015;8;"B1";"BEMA";0
2016;8;"B1";"BEMA";5
2017;8;"B1";"BEMA";3
2019;8;"B1";"BEMA";10
2015;9;"B1";"BEMA";0
2016;9;"B1";"BEMA";11
2017;9;"B1";"BEMA";0
2019;9;"B1";"BEMA";0
2015;1;"B2";"BEMA";0
2016;1;"B2";"BEMA";1
2017;1;"B2";"BEMA";0
2019;1;"B2";"BEMA";0
2015;2;"B2";"BEMA";0
2016;2;"B2";"BEMA";4
2017;2;"B2";"BEMA";1
2019;2;"B2";"BEMA";0
2015;3;"B2";"BEMA";0
2016;3;"B2";"BEMA";2
2017;3;"B2";"BEMA";1
2019;3;"B2";"BEMA";0
2015;4;"B2";"BEMA";0
2016;4;"B2";"BEMA";1
2017;4;"B2";"BEMA";0
2019;4;"B2";"BEMA";0
2015;5;"B2";"BEMA";1
2016;5;"B2";"BEMA";0
2017;5;"B2";"BEMA";0
2019;5;"B2";"BEMA";0
2015;6;"B2";"BEMA";5
2016;6;"B2";"BEMA";2
2017;6;"B2";"BEMA";0
2019;6;"B2";"BEMA";0
2015;7;"B2";"BEMA";0
2016;7;"B2";"BEMA";7
2017;7;"B2";"BEMA";0
2019;7;"B2";"BEMA";25
2015;8;"B2";"BEMA";0
2016;8;"B2";"BEMA";2
2017;8;"B2";"BEMA";0
2019;8;"B2";"BEMA";15
2015;9;"B2";"BEMA";0
2016;9;"B2";"BEMA";6
2017;9;"B2";"BEMA";0
2019;9;"B2";"BEMA";0
2015;1;"B3";"BEMA";0
2016;1;"B3";"BEMA";2
2017;1;"B3";"BEMA";0
2019;1;"B3";"BEMA";0
2015;2;"B3";"BEMA";2
2016;2;"B3";"BEMA";1
2017;2;"B3";"BEMA";0
2019;2;"B3";"BEMA";0
2015;3;"B3";"BEMA";0
2016;3;"B3";"BEMA";3
2017;3;"B3";"BEMA";0
2019;3;"B3";"BEMA";0
2015;4;"B3";"BEMA";0
2016;4;"B3";"BEMA";1
2017;4;"B3";"BEMA";0
2019;4;"B3";"BEMA";2
2015;5;"B3";"BEMA";2
2016;5;"B3";"BEMA";1
2017;5;"B3";"BEMA";0
2019;5;"B3";"BEMA";0
2015;6;"B3";"BEMA";0
2016;6;"B3";"BEMA";3
2017;6;"B3";"BEMA";0
2019;6;"B3";"BEMA";0
2015;7;"B3";"BEMA";0
2016;7;"B3";"BEMA";6
2017;7;"B3";"BEMA";2
2019;7;"B3";"BEMA";30
2015;8;"B3";"BEMA";0
2016;8;"B3";"BEMA";5
2017;8;"B3";"BEMA";0
2019;8;"B3";"BEMA";5
2015;9;"B3";"BEMA";0
2016;9;"B3";"BEMA";16
2017;9;"B3";"BEMA";0
2019;9;"B3";"BEMA";0
2015;1;"B4";"BEMA";0
2016;1;"B4";"BEMA";1
2017;1;"B4";"BEMA";0
2019;1;"B4";"BEMA";0
2015;2;"B4";"BEMA";0
2016;2;"B4";"BEMA";1
2017;2;"B4";"BEMA";0
2019;2;"B4";"BEMA";0
2015;3;"B4";"BEMA";0
2016;3;"B4";"BEMA";4
2017;3;"B4";"BEMA";3
2019;3;"B4";"BEMA";0
2015;4;"B4";"BEMA";3
2016;4;"B4";"BEMA";2
2017;4;"B4";"BEMA";0
2019;4;"B4";"BEMA";0
2015;5;"B4";"BEMA";0
2016;5;"B4";"BEMA";1
2017;5;"B4";"BEMA";0
2019;5;"B4";"BEMA";0
2015;6;"B4";"BEMA";0
2016;6;"B4";"BEMA";2
2017;6;"B4";"BEMA";0
2019;6;"B4";"BEMA";0
2015;7;"B4";"BEMA";0
2016;7;"B4";"BEMA";5
2017;7;"B4";"BEMA";3
2019;7;"B4";"BEMA";10
2015;8;"B4";"BEMA";0
2016;8;"B4";"BEMA";9
2017;8;"B4";"BEMA";0
2019;8;"B4";"BEMA";5
2015;9;"B4";"BEMA";0
2016;9;"B4";"BEMA";5
2017;9;"B4";"BEMA";0
2019;9;"B4";"BEMA";0
2015;1;"B5";"BEMA";0
2016;1;"B5";"BEMA";2
2017;1;"B5";"BEMA";0
2019;1;"B5";"BEMA";0
2015;2;"B5";"BEMA";1
2016;2;"B5";"BEMA";1
2017;2;"B5";"BEMA";0
2019;2;"B5";"BEMA";0
2015;3;"B5";"BEMA";0
2016;3;"B5";"BEMA";3
2017;3;"B5";"BEMA";3
2019;3;"B5";"BEMA";0
2015;4;"B5";"BEMA";3
2016;4;"B5";"BEMA";4
2017;4;"B5";"BEMA";0
2019;4;"B5";"BEMA";3
2015;5;"B5";"BEMA";0
2016;5;"B5";"BEMA";1
2017;5;"B5";"BEMA";1
2019;5;"B5";"BEMA";0
2015;6;"B5";"BEMA";0
2016;6;"B5";"BEMA";2
2017;6;"B5";"BEMA";0
2019;6;"B5";"BEMA";0
2015;7;"B5";"BEMA";0
2016;7;"B5";"BEMA";8
2017;7;"B5";"BEMA";0
2019;7;"B5";"BEMA";3
2015;8;"B5";"BEMA";0
2016;8;"B5";"BEMA";7
2017;8;"B5";"BEMA";0
2019;8;"B5";"BEMA";6
2015;9;"B5";"BEMA";0
2016;9;"B5";"BEMA";15
2017;9;"B5";"BEMA";0
2019;9;"B5";"BEMA";0
2015;1;"B6";"BEMA";0
2016;1;"B6";"BEMA";2
2017;1;"B6";"BEMA";0
2019;1;"B6";"BEMA";0
2015;2;"B6";"BEMA";0
2016;2;"B6";"BEMA";3
2017;2;"B6";"BEMA";0
2019;2;"B6";"BEMA";30
2015;3;"B6";"BEMA";0
2016;3;"B6";"BEMA";4
2017;3;"B6";"BEMA";1
2019;3;"B6";"BEMA";0
2015;4;"B6";"BEMA";3
2016;4;"B6";"BEMA";7
2017;4;"B6";"BEMA";0
2019;4;"B6";"BEMA";0
2015;5;"B6";"BEMA";0
2016;5;"B6";"BEMA";0
2017;5;"B6";"BEMA";0
2019;5;"B6";"BEMA";0
2015;6;"B6";"BEMA";0
2016;6;"B6";"BEMA";4
2017;6;"B6";"BEMA";0
2019;6;"B6";"BEMA";0
2015;7;"B6";"BEMA";0
2016;7;"B6";"BEMA";10
2017;7;"B6";"BEMA";0
2019;7;"B6";"BEMA";6
2015;8;"B6";"BEMA";0
2016;8;"B6";"BEMA";3
2017;8;"B6";"BEMA";0
2019;8;"B6";"BEMA";3
2015;9;"B6";"BEMA";0
2016;9;"B6";"BEMA";20
2017;9;"B6";"BEMA";0
2019;9;"B6";"BEMA";0
2015;1;"C1";"BEMA";1
2016;1;"C1";"BEMA";1
2017;1;"C1";"BEMA";0
2019;1;"C1";"BEMA";0
2015;2;"C1";"BEMA";2
2016;2;"C1";"BEMA";2
2017;2;"C1";"BEMA";0
2019;2;"C1";"BEMA";0
2015;3;"C1";"BEMA";0
2016;3;"C1";"BEMA";3
2017;3;"C1";"BEMA";0
2019;3;"C1";"BEMA";0
2015;4;"C1";"BEMA";2
2016;4;"C1";"BEMA";2
2017;4;"C1";"BEMA";0
2019;4;"C1";"BEMA";1
2015;5;"C1";"BEMA";2
2016;5;"C1";"BEMA";1
2017;5;"C1";"BEMA";0
2019;5;"C1";"BEMA";0
2015;6;"C1";"BEMA";0
2016;6;"C1";"BEMA";2
2017;6;"C1";"BEMA";0
2019;6;"C1";"BEMA";0
2015;7;"C1";"BEMA";0
2016;7;"C1";"BEMA";7
2017;7;"C1";"BEMA";0
2019;7;"C1";"BEMA";15
2015;8;"C1";"BEMA";0
2016;8;"C1";"BEMA";2
2017;8;"C1";"BEMA";0
2019;8;"C1";"BEMA";15
2015;9;"C1";"BEMA";0
2016;9;"C1";"BEMA";8
2017;9;"C1";"BEMA";0
2019;9;"C1";"BEMA";0
2015;1;"C2";"BEMA";1
2016;1;"C2";"BEMA";4
2017;1;"C2";"BEMA";0
2019;1;"C2";"BEMA";0
2015;2;"C2";"BEMA";2
2016;2;"C2";"BEMA";3
2017;2;"C2";"BEMA";0
2019;2;"C2";"BEMA";0
2015;3;"C2";"BEMA";0
2016;3;"C2";"BEMA";5
2017;3;"C2";"BEMA";0
2019;3;"C2";"BEMA";0
2015;4;"C2";"BEMA";1
2016;4;"C2";"BEMA";3
2017;4;"C2";"BEMA";0
2019;4;"C2";"BEMA";0
2015;5;"C2";"BEMA";0
2016;5;"C2";"BEMA";2
2017;5;"C2";"BEMA";0
2019;5;"C2";"BEMA";0
2015;6;"C2";"BEMA";4
2016;6;"C2";"BEMA";0
2017;6;"C2";"BEMA";0
2019;6;"C2";"BEMA";0
2015;7;"C2";"BEMA";0
2016;7;"C2";"BEMA";6
2017;7;"C2";"BEMA";4
2019;7;"C2";"BEMA";20
2015;8;"C2";"BEMA";0
2016;8;"C2";"BEMA";12
2017;8;"C2";"BEMA";5
2019;8;"C2";"BEMA";3
2015;9;"C2";"BEMA";0
2016;9;"C2";"BEMA";6
2017;9;"C2";"BEMA";0
2019;9;"C2";"BEMA";0
2015;1;"C3";"BEMA";0
2016;1;"C3";"BEMA";1
2017;1;"C3";"BEMA";0
2019;1;"C3";"BEMA";0
2015;2;"C3";"BEMA";0
2016;2;"C3";"BEMA";1
2017;2;"C3";"BEMA";0
2019;2;"C3";"BEMA";0
2015;3;"C3";"BEMA";0
2016;3;"C3";"BEMA";6
2017;3;"C3";"BEMA";0
2019;3;"C3";"BEMA";0
2015;4;"C3";"BEMA";1
2016;4;"C3";"BEMA";1
2017;4;"C3";"BEMA";0
2019;4;"C3";"BEMA";0
2015;5;"C3";"BEMA";1
2016;5;"C3";"BEMA";0
2017;5;"C3";"BEMA";0
2019;5;"C3";"BEMA";0
2015;6;"C3";"BEMA";0
2016;6;"C3";"BEMA";2
2017;6;"C3";"BEMA";0
2019;6;"C3";"BEMA";0
2015;7;"C3";"BEMA";0
2016;7;"C3";"BEMA";8
2017;7;"C3";"BEMA";0
2019;7;"C3";"BEMA";15
2015;8;"C3";"BEMA";0
2016;8;"C3";"BEMA";5
2017;8;"C3";"BEMA";0
2019;8;"C3";"BEMA";0
2015;9;"C3";"BEMA";0
2016;9;"C3";"BEMA";8
2017;9;"C3";"BEMA";0
2019;9;"C3";"BEMA";0
2015;1;"C4";"BEMA";0
2016;1;"C4";"BEMA";6
2017;1;"C4";"BEMA";1
2019;1;"C4";"BEMA";0
2015;2;"C4";"BEMA";0
2016;2;"C4";"BEMA";2
2017;2;"C4";"BEMA";0
2019;2;"C4";"BEMA";0
2015;3;"C4";"BEMA";0
2016;3;"C4";"BEMA";2
2017;3;"C4";"BEMA";0
2019;3;"C4";"BEMA";0
2015;4;"C4";"BEMA";4
2016;4;"C4";"BEMA";4
2017;4;"C4";"BEMA";0
2019;4;"C4";"BEMA";0
2015;5;"C4";"BEMA";0
2016;5;"C4";"BEMA";1
2017;5;"C4";"BEMA";0
2019;5;"C4";"BEMA";0
2015;6;"C4";"BEMA";0
2016;6;"C4";"BEMA";1
2017;6;"C4";"BEMA";0
2019;6;"C4";"BEMA";0
2015;7;"C4";"BEMA";0
2016;7;"C4";"BEMA";6
2017;7;"C4";"BEMA";0
2019;7;"C4";"BEMA";5
2015;8;"C4";"BEMA";0
2016;8;"C4";"BEMA";15
2017;8;"C4";"BEMA";0
2019;8;"C4";"BEMA";0
2015;9;"C4";"BEMA";0
2016;9;"C4";"BEMA";15
2017;9;"C4";"BEMA";0
2019;9;"C4";"BEMA";0
2015;1;"C5";"BEMA";0
2016;1;"C5";"BEMA";4
2017;1;"C5";"BEMA";0
2019;1;"C5";"BEMA";0
2015;2;"C5";"BEMA";0
2016;2;"C5";"BEMA";2
2017;2;"C5";"BEMA";0
2019;2;"C5";"BEMA";0
2015;3;"C5";"BEMA";0
2016;3;"C5";"BEMA";2
2017;3;"C5";"BEMA";0
2019;3;"C5";"BEMA";0
2015;4;"C5";"BEMA";1
2016;4;"C5";"BEMA";2
2017;4;"C5";"BEMA";0
2019;4;"C5";"BEMA";0
2015;5;"C5";"BEMA";2
2016;5;"C5";"BEMA";0
2017;5;"C5";"BEMA";0
2019;5;"C5";"BEMA";0
2015;6;"C5";"BEMA";0
2016;6;"C5";"BEMA";4
2017;6;"C5";"BEMA";0
2019;6;"C5";"BEMA";0
2015;7;"C5";"BEMA";0
2016;7;"C5";"BEMA";10
2017;7;"C5";"BEMA";0
2019;7;"C5";"BEMA";6
2015;8;"C5";"BEMA";0
2016;8;"C5";"BEMA";4
2017;8;"C5";"BEMA";2
2019;8;"C5";"BEMA";9
2015;9;"C5";"BEMA";0
2016;9;"C5";"BEMA";12
2017;9;"C5";"BEMA";0
2019;9;"C5";"BEMA";0
2015;1;"C6";"BEMA";0
2016;1;"C6";"BEMA";0
2017;1;"C6";"BEMA";0
2019;1;"C6";"BEMA";0
2015;2;"C6";"BEMA";0
2016;2;"C6";"BEMA";5
2017;2;"C6";"BEMA";0
2019;2;"C6";"BEMA";0
2015;3;"C6";"BEMA";0
2016;3;"C6";"BEMA";2
2017;3;"C6";"BEMA";0
2019;3;"C6";"BEMA";0
2015;4;"C6";"BEMA";0
2016;4;"C6";"BEMA";2
2017;4;"C6";"BEMA";0
2019;4;"C6";"BEMA";0
2015;5;"C6";"BEMA";0
2016;5;"C6";"BEMA";0
2017;5;"C6";"BEMA";0
2019;5;"C6";"BEMA";0
2015;6;"C6";"BEMA";0
2016;6;"C6";"BEMA";2
2017;6;"C6";"BEMA";0
2019;6;"C6";"BEMA";0
2015;7;"C6";"BEMA";0
2016;7;"C6";"BEMA";7
2017;7;"C6";"BEMA";0
2019;7;"C6";"BEMA";4
2015;8;"C6";"BEMA";0
2016;8;"C6";"BEMA";16
2017;8;"C6";"BEMA";0
2019;8;"C6";"BEMA";15
2015;9;"C6";"BEMA";0
2016;9;"C6";"BEMA";3
2017;9;"C6";"BEMA";0
2019;9;"C6";"BEMA";0
2015;1;"D1";"BEMA";4
2016;1;"D1";"BEMA";2
2017;1;"D1";"BEMA";0
2019;1;"D1";"BEMA";0
2015;2;"D1";"BEMA";2
2016;2;"D1";"BEMA";1
2017;2;"D1";"BEMA";0
2019;2;"D1";"BEMA";0
2015;3;"D1";"BEMA";0
2016;3;"D1";"BEMA";2
2017;3;"D1";"BEMA";2
2019;3;"D1";"BEMA";0
2015;4;"D1";"BEMA";0
2016;4;"D1";"BEMA";1
2017;4;"D1";"BEMA";0
2019;4;"D1";"BEMA";0
2015;5;"D1";"BEMA";0
2016;5;"D1";"BEMA";0
2017;5;"D1";"BEMA";0
2019;5;"D1";"BEMA";0
2015;6;"D1";"BEMA";2
2016;6;"D1";"BEMA";2
2017;6;"D1";"BEMA";0
2019;6;"D1";"BEMA";0
2015;7;"D1";"BEMA";0
2016;7;"D1";"BEMA";7
2017;7;"D1";"BEMA";2
2019;7;"D1";"BEMA";30
2015;8;"D1";"BEMA";0
2016;8;"D1";"BEMA";5
2017;8;"D1";"BEMA";3
2019;8;"D1";"BEMA";9
2015;9;"D1";"BEMA";0
2016;9;"D1";"BEMA";8
2017;9;"D1";"BEMA";0
2019;9;"D1";"BEMA";0
2015;1;"D2";"BEMA";3
2016;1;"D2";"BEMA";3
2017;1;"D2";"BEMA";0
2019;1;"D2";"BEMA";0
2015;2;"D2";"BEMA";0
2016;2;"D2";"BEMA";1
2017;2;"D2";"BEMA";0
2019;2;"D2";"BEMA";0
2015;3;"D2";"BEMA";0
2016;3;"D2";"BEMA";1
2017;3;"D2";"BEMA";2
2019;3;"D2";"BEMA";0
2015;4;"D2";"BEMA";0
2016;4;"D2";"BEMA";1
2017;4;"D2";"BEMA";0
2019;4;"D2";"BEMA";0
2015;5;"D2";"BEMA";0
2016;5;"D2";"BEMA";1
2017;5;"D2";"BEMA";0
2019;5;"D2";"BEMA";0
2015;6;"D2";"BEMA";3
2016;6;"D2";"BEMA";1
2017;6;"D2";"BEMA";0
2019;6;"D2";"BEMA";0
2015;7;"D2";"BEMA";0
2016;7;"D2";"BEMA";9
2017;7;"D2";"BEMA";0
2019;7;"D2";"BEMA";35
2015;8;"D2";"BEMA";0
2016;8;"D2";"BEMA";5
2017;8;"D2";"BEMA";0
2019;8;"D2";"BEMA";5
2015;9;"D2";"BEMA";0
2016;9;"D2";"BEMA";7
2017;9;"D2";"BEMA";0
2019;9;"D2";"BEMA";0
2015;1;"D3";"BEMA";0
2016;1;"D3";"BEMA";1
2017;1;"D3";"BEMA";0
2019;1;"D3";"BEMA";0
2015;2;"D3";"BEMA";0
2016;2;"D3";"BEMA";1
2017;2;"D3";"BEMA";0
2019;2;"D3";"BEMA";0
2015;3;"D3";"BEMA";0
2016;3;"D3";"BEMA";1
2017;3;"D3";"BEMA";0
2019;3;"D3";"BEMA";0
2015;4;"D3";"BEMA";0
2016;4;"D3";"BEMA";0
2017;4;"D3";"BEMA";0
2019;4;"D3";"BEMA";0
2015;5;"D3";"BEMA";0
2016;5;"D3";"BEMA";1
2017;5;"D3";"BEMA";0
2019;5;"D3";"BEMA";0
2015;6;"D3";"BEMA";2
2016;6;"D3";"BEMA";0
2017;6;"D3";"BEMA";0
2019;6;"D3";"BEMA";0
2015;7;"D3";"BEMA";0
2016;7;"D3";"BEMA";10
2017;7;"D3";"BEMA";2
2019;7;"D3";"BEMA";30
2015;8;"D3";"BEMA";0
2016;8;"D3";"BEMA";3
2017;8;"D3";"BEMA";3
2019;8;"D3";"BEMA";0
2015;9;"D3";"BEMA";0
2016;9;"D3";"BEMA";6
2017;9;"D3";"BEMA";0
2019;9;"D3";"BEMA";0
2015;1;"D4";"BEMA";0
2016;1;"D4";"BEMA";4
2017;1;"D4";"BEMA";0
2019;1;"D4";"BEMA";0
2015;2;"D4";"BEMA";3
2016;2;"D4";"BEMA";3
2017;2;"D4";"BEMA";1
2019;2;"D4";"BEMA";0
2015;3;"D4";"BEMA";0
2016;3;"D4";"BEMA";1
2017;3;"D4";"BEMA";1
2019;3;"D4";"BEMA";0
2015;4;"D4";"BEMA";2
2016;4;"D4";"BEMA";0
2017;4;"D4";"BEMA";0
2019;4;"D4";"BEMA";0
2015;5;"D4";"BEMA";1
2016;5;"D4";"BEMA";0
2017;5;"D4";"BEMA";0
2019;5;"D4";"BEMA";0
2015;6;"D4";"BEMA";0
2016;6;"D4";"BEMA";0
2017;6;"D4";"BEMA";0
2019;6;"D4";"BEMA";0
2015;7;"D4";"BEMA";0
2016;7;"D4";"BEMA";7
2017;7;"D4";"BEMA";0
2019;7;"D4";"BEMA";25
2015;8;"D4";"BEMA";0
2016;8;"D4";"BEMA";2
2017;8;"D4";"BEMA";3
2019;8;"D4";"BEMA";0
2015;9;"D4";"BEMA";0
2016;9;"D4";"BEMA";6
2017;9;"D4";"BEMA";0
2019;9;"D4";"BEMA";0
2015;1;"D5";"BEMA";0
2016;1;"D5";"BEMA";5
2017;1;"D5";"BEMA";0
2019;1;"D5";"BEMA";0
2015;2;"D5";"BEMA";0
2016;2;"D5";"BEMA";5
2017;2;"D5";"BEMA";0
2019;2;"D5";"BEMA";0
2015;3;"D5";"BEMA";0
2016;3;"D5";"BEMA";1
2017;3;"D5";"BEMA";0
2019;3;"D5";"BEMA";0
2015;4;"D5";"BEMA";3
2016;4;"D5";"BEMA";2
2017;4;"D5";"BEMA";0
2019;4;"D5";"BEMA";0
2015;5;"D5";"BEMA";0
2016;5;"D5";"BEMA";0
2017;5;"D5";"BEMA";0
2019;5;"D5";"BEMA";0
2015;6;"D5";"BEMA";0
2016;6;"D5";"BEMA";1
2017;6;"D5";"BEMA";0
2019;6;"D5";"BEMA";0
2015;7;"D5";"BEMA";0
2016;7;"D5";"BEMA";14
2017;7;"D5";"BEMA";1
2019;7;"D5";"BEMA";10
2015;8;"D5";"BEMA";0
