"year.predicted";"plot";"metric";"type";"intensity";"value"
"2019";3;"evenness";"obs";1;3,47540137403683
"2016";4;"evenness";"obs";1;6,16472075621508
"2017";4;"evenness";"obs";1;5,26619027652988
"2018";4;"evenness";"obs";1;3,90753027622443
"2019";4;"evenness";"obs";1;2,0493866411089
"2016";5;"evenness";"obs";1;5,33870309171362
"2017";5;"evenness";"obs";1;4,47052479934792
"2018";5;"evenness";"obs";1;4,11347709555905
"2019";5;"evenness";"obs";1;1,4981797505366
"2016";6;"evenness";"obs";1;5,29117709279905
"2017";6;"evenness";"obs";1;4,93072659216159
"2018";6;"evenness";"obs";1;3,84157310591357
"2019";6;"evenness";"obs";1;1,76084559727231
"2016";7;"evenness";"obs";1;1,83066682023747
"2017";7;"evenness";"obs";1;5,57314519881446
"2018";7;"evenness";"obs";1;2,73756715441243
"2019";7;"evenness";"obs";1;NA
"2016";8;"evenness";"obs";1;2,49742376632299
"2017";8;"evenness";"obs";1;5,55922252438803
"2018";8;"evenness";"obs";1;3,84777823110945
"2019";8;"evenness";"obs";1;NA
"2016";9;"evenness";"obs";1;1,5044200919483
"2017";9;"evenness";"obs";1;3,52360590563706
"2018";9;"evenness";"obs";1;NA
"2019";9;"evenness";"obs";1;NA
"2016";1;"richness";"nd";1;16
"2017";1;"richness";"nd";1;10
"2018";1;"richness";"nd";1;14
"2019";1;"richness";"nd";1;8
"2016";2;"richness";"nd";1;16
"2017";2;"richness";"nd";1;11
"2018";2;"richness";"nd";1;14
"2019";2;"richness";"nd";1;13
"2016";3;"richness";"nd";1;11
"2017";3;"richness";"nd";1;10
"2018";3;"richness";"nd";1;14
"2019";3;"richness";"nd";1;9
"2016";4;"richness";"nd";1;18
"2017";4;"richness";"nd";1;14
"2018";4;"richness";"nd";1;11
"2019";4;"richness";"nd";1;7
"2016";5;"richness";"nd";1;16
"2017";5;"richness";"nd";1;11
"2018";5;"richness";"nd";1;12
"2019";5;"richness";"nd";1;5
"2016";6;"richness";"nd";1;15
"2017";6;"richness";"nd";1;14
"2018";6;"richness";"nd";1;10
"2019";6;"richness";"nd";1;5
"2016";7;"richness";"nd";1;6
"2017";7;"richness";"nd";1;15
"2018";7;"richness";"nd";1;6
"2019";7;"richness";"nd";1;NA
"2016";8;"richness";"nd";1;6
"2017";8;"richness";"nd";1;15
"2018";8;"richness";"nd";1;8
"2019";8;"richness";"nd";1;NA
"2016";9;"richness";"nd";1;5
"2017";9;"richness";"nd";1;14
"2018";9;"richness";"nd";1;NA
"2019";9;"richness";"nd";1;NA
"2016";1;"abundance";"nd";1;266,289553392083
"2017";1;"abundance";"nd";1;213,669649266535
"2018";1;"abundance";"nd";1;383,327581350762
"2019";1;"abundance";"nd";1;1065,59028063852
"2016";2;"abundance";"nd";1;266,289553392083
"2017";2;"abundance";"nd";1;392,977881548194
"2018";2;"abundance";"nd";1;380,349949875715
"2019";2;"abundance";"nd";1;677,974994707313
"2016";3;"abundance";"nd";1;296,269726790184
"2017";3;"abundance";"nd";1;389,207328434503
"2018";3;"abundance";"nd";1;383,327581350762
"2019";3;"abundance";"nd";1;810,291528809755
"2016";4;"abundance";"nd";1;366,789881096009
"2017";4;"abundance";"nd";1;635,558106183028
"2018";4;"abundance";"nd";1;764,120068498996
"2019";4;"abundance";"nd";1;716,404100405344
"2016";5;"abundance";"nd";1;266,289553392083
"2017";5;"abundance";"nd";1;396,226905507863
"2018";5;"abundance";"nd";1;770,588736599078
"2019";5;"abundance";"nd";1;610,66506202492
"2016";6;"abundance";"nd";1;269,512065462292
"2017";6;"abundance";"nd";1;295,671927378941
"2018";6;"abundance";"nd";1;782,348667309773
"2019";6;"abundance";"nd";1;668,754710138374
"2016";7;"abundance";"nd";1;288,559968183481
"2017";7;"abundance";"nd";1;421,677517597537
"2018";7;"abundance";"nd";1;347,59834463445
"2019";7;"abundance";"nd";1;NA
"2016";8;"abundance";"nd";1;688,667098520367
"2017";8;"abundance";"nd";1;420,929611461557
"2018";8;"abundance";"nd";1;342,990122234324
"2019";8;"abundance";"nd";1;NA
"2016";9;"abundance";"nd";1;438,773145100842
"2017";9;"abundance";"nd";1;323,762255683269
"2018";9;"abundance";"nd";1;NA
"2019";9;"abundance";"nd";1;NA
"2016";1;"evenness";"nd";1;5,33870309171362
"2017";1;"evenness";"nd";1;3,705726868711
"2018";1;"evenness";"nd";1;4,47686964990129
"2019";1;"evenness";"nd";1;2,62464524547182
"2016";2;"evenness";"nd";1;5,33870309171362
"2017";2;"evenness";"nd";1;3,58623420249173
"2018";2;"evenness";"nd";1;4,21867440863717
"2019";2;"evenness";"nd";1;2,11728386410609
"2016";3;"evenness";"nd";1;4,91284911052158
"2017";3;"evenness";"nd";1;3,43899578384599
"2018";3;"evenness";"nd";1;4,47686964990129
"2019";3;"evenness";"nd";1;3,47540137403683
"2016";4;"evenness";"nd";1;6,16472075621508
"2017";4;"evenness";"nd";1;5,26619027652988
"2018";4;"evenness";"nd";1;3,90753027622443
"2019";4;"evenness";"nd";1;2,0493866411089
"2016";5;"evenness";"nd";1;5,33870309171362
"2017";5;"evenness";"nd";1;4,47052479934792
"2018";5;"evenness";"nd";1;4,11347709555905
"2019";5;"evenness";"nd";1;1,4981797505366
"2016";6;"evenness";"nd";1;5,29117709279905
"2017";6;"evenness";"nd";1;4,93072659216159
"2018";6;"evenness";"nd";1;3,84157310591357
"2019";6;"evenness";"nd";1;1,76084559727231
"2016";7;"evenness";"nd";1;1,83066682023747
"2017";7;"evenness";"nd";1;5,57314519881446
"2018";7;"evenness";"nd";1;2,73756715441243
"2019";7;"evenness";"nd";1;NA
"2016";8;"evenness";"nd";1;2,49742376632299
"2017";8;"evenness";"nd";1;5,55922252438803
"2018";8;"evenness";"nd";1;3,84777823110945
"2019";8;"evenness";"nd";1;NA
"2016";9;"evenness";"nd";1;1,5044200919483
"2017";9;"evenness";"nd";1;3,52360590563706
"2018";9;"evenness";"nd";1;NA
"2019";9;"evenness";"nd";1;NA
"2016";1;"richness";"fd";1;16
"2017";1;"richness";"fd";1;10
"2018";1;"richness";"fd";1;14
"2019";1;"richness";"fd";1;8
"2016";2;"richness";"fd";1;16
"2017";2;"richness";"fd";1;11
"2018";2;"richness";"fd";1;14
"2019";2;"richness";"fd";1;13
"2016";3;"richness";"fd";1;11
"2017";3;"richness";"fd";1;10
"2018";3;"richness";"fd";1;14
"2019";3;"richness";"fd";1;9
"2016";4;"richness";"fd";1;18
"2017";4;"richness";"fd";1;14
"2018";4;"richness";"fd";1;11
"2019";4;"richness";"fd";1;7
"2016";5;"richness";"fd";1;16
"2017";5;"richness";"fd";1;11
"2018";5;"richness";"fd";1;12
"2019";5;"richness";"fd";1;5
"2016";6;"richness";"fd";1;15
"2017";6;"richness";"fd";1;14
"2018";6;"richness";"fd";1;10
"2019";6;"richness";"fd";1;5
"2016";7;"richness";"fd";1;6
"2017";7;"richness";"fd";1;15
"2018";7;"richness";"fd";1;6
"2019";7;"richness";"fd";1;NA
"2016";8;"richness";"fd";1;6
"2017";8;"richness";"fd";1;15
"2018";8;"richness";"fd";1;8
"2019";8;"richness";"fd";1;NA
"2016";9;"richness";"fd";1;5
"2017";9;"richness";"fd";1;14
"2018";9;"richness";"fd";1;NA
"2019";9;"richness";"fd";1;NA
"2016";1;"abundance";"fd";1;266,289553392083
"2017";1;"abundance";"fd";1;213,669649266535
"2018";1;"abundance";"fd";1;383,327581350762
"2019";1;"abundance";"fd";1;1065,59028063852
"2016";2;"abundance";"fd";1;266,289553392083
"2017";2;"abundance";"fd";1;392,977881548194
"2018";2;"abundance";"fd";1;380,349949875715
"2019";2;"abundance";"fd";1;677,974994707313
"2016";3;"abundance";"fd";1;296,269726790184
"2017";3;"abundance";"fd";1;389,207328434503
"2018";3;"abundance";"fd";1;383,327581350762
"2019";3;"abundance";"fd";1;810,291528809755
"2016";4;"abundance";"fd";1;366,789881096009
"2017";4;"abundance";"fd";1;635,558106183028
"2018";4;"abundance";"fd";1;764,120068498996
"2019";4;"abundance";"fd";1;716,404100405344
"2016";5;"abundance";"fd";1;266,289553392083
"2017";5;"abundance";"fd";1;396,226905507863
"2018";5;"abundance";"fd";1;770,588736599078
"2019";5;"abundance";"fd";1;610,66506202492
"2016";6;"abundance";"fd";1;269,512065462292
"2017";6;"abundance";"fd";1;295,671927378941
"2018";6;"abundance";"fd";1;782,348667309773
"2019";6;"abundance";"fd";1;668,754710138374
"2016";7;"abundance";"fd";1;288,559968183481
"2017";7;"abundance";"fd";1;421,677517597537
"2018";7;"abundance";"fd";1;347,59834463445
"2019";7;"abundance";"fd";1;NA
"2016";8;"abundance";"fd";1;688,667098520367
"2017";8;"abundance";"fd";1;420,929611461557
"2018";8;"abundance";"fd";1;342,990122234324
"2019";8;"abundance";"fd";1;NA
"2016";9;"abundance";"fd";1;438,773145100842
"2017";9;"abundance";"fd";1;323,762255683269
"2018";9;"abundance";"fd";1;NA
"2019";9;"abundance";"fd";1;NA
"2016";1;"evenness";"fd";1;5,33870309171362
"2017";1;"evenness";"fd";1;3,705726868711
"2018";1;"evenness";"fd";1;4,47686964990129
"2019";1;"evenness";"fd";1;2,62464524547182
"2016";2;"evenness";"fd";1;5,33870309171362
"2017";2;"evenness";"fd";1;3,58623420249173
"2018";2;"evenness";"fd";1;4,21867440863717
"2019";2;"evenness";"fd";1;2,11728386410609
"2016";3;"evenness";"fd";1;4,91284911052158
"2017";3;"evenness";"fd";1;3,43899578384599
"2018";3;"evenness";"fd";1;4,47686964990129
"2019";3;"evenness";"fd";1;3,47540137403683
"2016";4;"evenness";"fd";1;6,16472075621508
"2017";4;"evenness";"fd";1;5,26619027652988
"2018";4;"evenness";"fd";1;3,90753027622443
"2019";4;"evenness";"fd";1;2,0493866411089
"2016";5;"evenness";"fd";1;5,33870309171362
"2017";5;"evenness";"fd";1;4,47052479934792
"2018";5;"evenness";"fd";1;4,11347709555905
"2019";5;"evenness";"fd";1;1,4981797505366
"2016";6;"evenness";"fd";1;5,29117709279905
"2017";6;"evenness";"fd";1;4,93072659216159
"2018";6;"evenness";"fd";1;3,84157310591357
"2019";6;"evenness";"fd";1;1,76084559727231
"2016";7;"evenness";"fd";1;1,83066682023747
"2017";7;"evenness";"fd";1;5,57314519881446
"2018";7;"evenness";"fd";1;2,73756715441243
"2019";7;"evenness";"fd";1;NA
"2016";8;"evenness";"fd";1;2,49742376632299
"2017";8;"evenness";"fd";1;5,55922252438803
"2018";8;"evenness";"fd";1;3,84777823110945
"2019";8;"evenness";"fd";1;NA
"2016";9;"evenness";"fd";1;1,5044200919483
"2017";9;"evenness";"fd";1;3,52360590563706
"2018";9;"evenness";"fd";1;NA
"2019";9;"evenness";"fd";1;NA
"2016";1;"richness";"ia";1;16
"2017";1;"richness";"ia";1;10
"2018";1;"richness";"ia";1;14
"2019";1;"richness";"ia";1;8
"2016";2;"richness";"ia";1;16
"2017";2;"richness";"ia";1;11
"2018";2;"richness";"ia";1;14
"2019";2;"richness";"ia";1;13
"2016";3;"richness";"ia";1;11
"2017";3;"richness";"ia";1;10
"2018";3;"richness";"ia";1;14
"2019";3;"richness";"ia";1;9
"2016";4;"richness";"ia";1;18
"2017";4;"richness";"ia";1;14
"2018";4;"richness";"ia";1;11
"2019";4;"richness";"ia";1;7
"2016";5;"richness";"ia";1;16
"2017";5;"richness";"ia";1;11
"2018";5;"richness";"ia";1;12
"2019";5;"richness";"ia";1;5
"2016";6;"richness";"ia";1;15
"2017";6;"richness";"ia";1;14
"2018";6;"richness";"ia";1;10
"2019";6;"richness";"ia";1;5
"2016";7;"richness";"ia";1;6
"2017";7;"richness";"ia";1;15
"2018";7;"richness";"ia";1;6
"2019";7;"richness";"ia";1;NA
"2016";8;"richness";"ia";1;6
"2017";8;"richness";"ia";1;15
"2018";8;"richness";"ia";1;8
"2019";8;"richness";"ia";1;NA
"2016";9;"richness";"ia";1;5
"2017";9;"richness";"ia";1;14
"2018";9;"richness";"ia";1;NA
"2019";9;"richness";"ia";1;NA
"2016";1;"abundance";"ia";1;266,289553392083
"2017";1;"abundance";"ia";1;213,669649266535
"2018";1;"abundance";"ia";1;383,327581350762
"2019";1;"abundance";"ia";1;1065,59028063852
"2016";2;"abundance";"ia";1;266,289553392083
"2017";2;"abundance";"ia";1;392,977881548194
"2018";2;"abundance";"ia";1;380,349949875715
"2019";2;"abundance";"ia";1;677,974994707313
"2016";3;"abundance";"ia";1;296,269726790184
"2017";3;"abundance";"ia";1;389,207328434503
"2018";3;"abundance";"ia";1;383,327581350762
"2019";3;"abundance";"ia";1;810,291528809755
"2016";4;"abundance";"ia";1;366,789881096009
"2017";4;"abundance";"ia";1;635,558106183028
"2018";4;"abundance";"ia";1;764,120068498996
"2019";4;"abundance";"ia";1;716,404100405344
"2016";5;"abundance";"ia";1;266,289553392083
"2017";5;"abundance";"ia";1;396,226905507863
"2018";5;"abundance";"ia";1;770,588736599078
"2019";5;"abundance";"ia";1;610,66506202492
"2016";6;"abundance";"ia";1;269,512065462292
"2017";6;"abundance";"ia";1;295,671927378941
"2018";6;"abundance";"ia";1;782,348667309773
"2019";6;"abundance";"ia";1;668,754710138374
"2016";7;"abundance";"ia";1;288,559968183481
"2017";7;"abundance";"ia";1;421,677517597537
"2018";7;"abundance";"ia";1;347,59834463445
"2019";7;"abundance";"ia";1;NA
"2016";8;"abundance";"ia";1;688,667098520367
"2017";8;"abundance";"ia";1;420,929611461557
"2018";8;"abundance";"ia";1;342,990122234324
"2019";8;"abundance";"ia";1;NA
"2016";9;"abundance";"ia";1;438,773145100842
"2017";9;"abundance";"ia";1;323,762255683269
"2018";9;"abundance";"ia";1;NA
"2019";9;"abundance";"ia";1;NA
"2016";1;"evenness";"ia";1;5,33870309171362
"2017";1;"evenness";"ia";1;3,705726868711
"2018";1;"evenness";"ia";1;4,47686964990129
"2019";1;"evenness";"ia";1;2,62464524547182
"2016";2;"evenness";"ia";1;5,33870309171362
"2017";2;"evenness";"ia";1;3,58623420249173
"2018";2;"evenness";"ia";1;4,21867440863717
"2019";2;"evenness";"ia";1;2,11728386410609
"2016";3;"evenness";"ia";1;4,91284911052158
"2017";3;"evenness";"ia";1;3,43899578384599
"2018";3;"evenness";"ia";1;4,47686964990129
"2019";3;"evenness";"ia";1;3,47540137403683
"2016";4;"evenness";"ia";1;6,16472075621508
"2017";4;"evenness";"ia";1;5,26619027652988
"2018";4;"evenness";"ia";1;3,90753027622443
"2019";4;"evenness";"ia";1;2,0493866411089
"2016";5;"evenness";"ia";1;5,33870309171362
"2017";5;"evenness";"ia";1;4,47052479934792
"2018";5;"evenness";"ia";1;4,11347709555905
"2019";5;"evenness";"ia";1;1,4981797505366
"2016";6;"evenness";"ia";1;5,29117709279905
"2017";6;"evenness";"ia";1;4,93072659216159
"2018";6;"evenness";"ia";1;3,84157310591357
"2019";6;"evenness";"ia";1;1,76084559727231
"2016";7;"evenness";"ia";1;1,83066682023747
"2017";7;"evenness";"ia";1;5,57314519881446
"2018";7;"evenness";"ia";1;2,73756715441243
"2019";7;"evenness";"ia";1;NA
"2016";8;"evenness";"ia";1;2,49742376632299
"2017";8;"evenness";"ia";1;5,55922252438803
"2018";8;"evenness";"ia";1;3,84777823110945
"2019";8;"evenness";"ia";1;NA
"2016";9;"evenness";"ia";1;1,5044200919483
"2017";9;"evenness";"ia";1;3,52360590563706
"2018";9;"evenness";"ia";1;NA
"2019";9;"evenness";"ia";1;NA
"2016";1;"richness";"id";1;16
"2017";1;"richness";"id";1;10
"2018";1;"richness";"id";1;14
"2019";1;"richness";"id";1;8
"2016";2;"richness";"id";1;16
"2017";2;"richness";"id";1;11
"2018";2;"richness";"id";1;14
"2019";2;"richness";"id";1;13
"2016";3;"richness";"id";1;11
"2017";3;"richness";"id";1;10
"2018";3;"richness";"id";1;14
"2019";3;"richness";"id";1;9
"2016";4;"richness";"id";1;18
"2017";4;"richness";"id";1;14
"2018";4;"richness";"id";1;11
"2019";4;"richness";"id";1;7
"2016";5;"richness";"id";1;16
"2017";5;"richness";"id";1;11
"2018";5;"richness";"id";1;12
"2019";5;"richness";"id";1;5
"2016";6;"richness";"id";1;15
"2017";6;"richness";"id";1;14
"2018";6;"richness";"id";1;10
"2019";6;"richness";"id";1;5
"2016";7;"richness";"id";1;6
"2017";7;"richness";"id";1;15
"2018";7;"richness";"id";1;6
"2019";7;"richness";"id";1;NA
"2016";8;"richness";"id";1;6
"2017";8;"richness";"id";1;15
"2018";8;"richness";"id";1;8
"2019";8;"richness";"id";1;NA
"2016";9;"richness";"id";1;5
"2017";9;"richness";"id";1;14
"2018";9;"richness";"id";1;NA
"2019";9;"richness";"id";1;NA
"2016";1;"abundance";"id";1;266,289553392083
"2017";1;"abundance";"id";1;213,669649266535
"2018";1;"abundance";"id";1;383,327581350762
"2019";1;"abundance";"id";1;1065,59028063852
"2016";2;"abundance";"id";1;266,289553392083
"2017";2;"abundance";"id";1;392,977881548194
"2018";2;"abundance";"id";1;380,349949875715
"2019";2;"abundance";"id";1;677,974994707313
"2016";3;"abundance";"id";1;296,269726790184
"2017";3;"abundance";"id";1;389,207328434503
"2018";3;"abundance";"id";1;383,327581350762
"2019";3;"abundance";"id";1;810,291528809755
"2016";4;"abundance";"id";1;366,789881096009
"2017";4;"abundance";"id";1;635,558106183028
"2018";4;"abundance";"id";1;764,120068498996
"2019";4;"abundance";"id";1;716,404100405344
"2016";5;"abundance";"id";1;266,289553392083
"2017";5;"abundance";"id";1;396,226905507863
"2018";5;"abundance";"id";1;770,588736599078
"2019";5;"abundance";"id";1;610,66506202492
"2016";6;"abundance";"id";1;269,512065462292
"2017";6;"abundance";"id";1;295,671927378941
"2018";6;"abundance";"id";1;782,348667309773
"2019";6;"abundance";"id";1;668,754710138374
"2016";7;"abundance";"id";1;288,559968183481
"2017";7;"abundance";"id";1;421,677517597537
"2018";7;"abundance";"id";1;347,59834463445
"2019";7;"abundance";"id";1;NA
"2016";8;"abundance";"id";1;688,667098520367
"2017";8;"abundance";"id";1;420,929611461557
"2018";8;"abundance";"id";1;342,990122234324
"2019";8;"abundance";"id";1;NA
"2016";9;"abundance";"id";1;438,773145100842
"2017";9;"abundance";"id";1;323,762255683269
"2018";9;"abundance";"id";1;NA
"2019";9;"abundance";"id";1;NA
"2016";1;"evenness";"id";1;5,33870309171362
"2017";1;"evenness";"id";1;3,705726868711
"2018";1;"evenness";"id";1;4,47686964990129
"2019";1;"evenness";"id";1;2,62464524547182
"2016";2;"evenness";"id";1;5,33870309171362
"2017";2;"evenness";"id";1;3,58623420249173
"2018";2;"evenness";"id";1;4,21867440863717
"2019";2;"evenness";"id";1;2,11728386410609
"2016";3;"evenness";"id";1;4,91284911052158
"2017";3;"evenness";"id";1;3,43899578384599
"2018";3;"evenness";"id";1;4,47686964990129
"2019";3;"evenness";"id";1;3,47540137403683
"2016";4;"evenness";"id";1;6,16472075621508
"2017";4;"evenness";"id";1;5,26619027652988
"2018";4;"evenness";"id";1;3,90753027622443
"2019";4;"evenness";"id";1;2,0493866411089
"2016";5;"evenness";"id";1;5,33870309171362
"2017";5;"evenness";"id";1;4,47052479934792
"2018";5;"evenness";"id";1;4,11347709555905
"2019";5;"evenness";"id";1;1,4981797505366
"2016";6;"evenness";"id";1;5,29117709279905
"2017";6;"evenness";"id";1;4,93072659216159
"2018";6;"evenness";"id";1;3,84157310591357
"2019";6;"evenness";"id";1;1,76084559727231
"2016";7;"evenness";"id";1;1,83066682023747
"2017";7;"evenness";"id";1;5,57314519881446
"2018";7;"evenness";"id";1;2,73756715441243
"2019";7;"evenness";"id";1;NA
"2016";8;"evenness";"id";1;2,49742376632299
"2017";8;"evenness";"id";1;5,55922252438803
"2018";8;"evenness";"id";1;3,84777823110945
"2019";8;"evenness";"id";1;NA
"2016";9;"evenness";"id";1;1,5044200919483
"2017";9;"evenness";"id";1;3,52360590563706
"2018";9;"evenness";"id";1;NA
"2019";9;"evenness";"id";1;NA
"2016";1;"richness";"obs";2;16
"2017";1;"richness";"obs";2;10
"2018";1;"richness";"obs";2;14
"2019";1;"richness";"obs";2;8
"2016";2;"richness";"obs";2;16
"2017";2;"richness";"obs";2;11
"2018";2;"richness";"obs";2;14
"2019";2;"richness";"obs";2;13
"2016";3;"richness";"obs";2;11
"2017";3;"richness";"obs";2;10
"2018";3;"richness";"obs";2;14
"2019";3;"richness";"obs";2;9
"2016";4;"richness";"obs";2;18
"2017";4;"richness";"obs";2;14
"2018";4;"richness";"obs";2;11
"2019";4;"richness";"obs";2;7
"2016";5;"richness";"obs";2;16
"2017";5;"richness";"obs";2;11
"2018";5;"richness";"obs";2;12
"2019";5;"richness";"obs";2;5
"2016";6;"richness";"obs";2;15
"2017";6;"richness";"obs";2;14
"2018";6;"richness";"obs";2;10
"2019";6;"richness";"obs";2;5
"2016";7;"richness";"obs";2;6
"2017";7;"richness";"obs";2;15
"2018";7;"richness";"obs";2;6
"2019";7;"richness";"obs";2;NA
"2016";8;"richness";"obs";2;6
"2017";8;"richness";"obs";2;15
"2018";8;"richness";"obs";2;8
"2019";8;"richness";"obs";2;NA
"2016";9;"richness";"obs";2;5
"2017";9;"richness";"obs";2;14
"2018";9;"richness";"obs";2;NA
"2019";9;"richness";"obs";2;NA
"2016";1;"abundance";"obs";2;266,289553392083
"2017";1;"abundance";"obs";2;213,669649266535
"2018";1;"abundance";"obs";2;383,327581350762
"2019";1;"abundance";"obs";2;1065,59028063852
"2016";2;"abundance";"obs";2;266,289553392083
"2017";2;"abundance";"obs";2;392,977881548194
"2018";2;"abundance";"obs";2;380,349949875715
"2019";2;"abundance";"obs";2;677,974994707313
"2016";3;"abundance";"obs";2;296,269726790184
"2017";3;"abundance";"obs";2;389,207328434503
"2018";3;"abundance";"obs";2;383,327581350762
"2019";3;"abundance";"obs";2;810,291528809755
"2016";4;"abundance";"obs";2;366,789881096009
"2017";4;"abundance";"obs";2;635,558106183028
"2018";4;"abundance";"obs";2;764,120068498996
"2019";4;"abundance";"obs";2;716,404100405344
"2016";5;"abundance";"obs";2;266,289553392083
"2017";5;"abundance";"obs";2;396,226905507863
"2018";5;"abundance";"obs";2;770,588736599078
"2019";5;"abundance";"obs";2;610,66506202492
"2016";6;"abundance";"obs";2;269,512065462292
"2017";6;"abundance";"obs";2;295,671927378941
"2018";6;"abundance";"obs";2;782,348667309773
"2019";6;"abundance";"obs";2;668,754710138374
"2016";7;"abundance";"obs";2;288,559968183481
"2017";7;"abundance";"obs";2;421,677517597537
"2018";7;"abundance";"obs";2;347,59834463445
"2019";7;"abundance";"obs";2;NA
"2016";8;"abundance";"obs";2;688,667098520367
"2017";8;"abundance";"obs";2;420,929611461557
"2018";8;"abundance";"obs";2;342,990122234324
"2019";8;"abundance";"obs";2;NA
"2016";9;"abundance";"obs";2;438,773145100842
"2017";9;"abundance";"obs";2;323,762255683269
"2018";9;"abundance";"obs";2;NA
"2019";9;"abundance";"obs";2;NA
"2016";1;"evenness";"obs";2;5,33870309171362
"2017";1;"evenness";"obs";2;3,705726868711
"2018";1;"evenness";"obs";2;4,47686964990129
"2019";1;"evenness";"obs";2;2,62464524547182
"2016";2;"evenness";"obs";2;5,33870309171362
"2017";2;"evenness";"obs";2;3,58623420249173
"2018";2;"evenness";"obs";2;4,21867440863717
"2019";2;"evenness";"obs";2;2,11728386410609
"2016";3;"evenness";"obs";2;4,91284911052158
"2017";3;"evenness";"obs";2;3,43899578384599
"2018";3;"evenness";"obs";2;4,47686964990129
"2019";3;"evenness";"obs";2;3,47540137403683
"2016";4;"evenness";"obs";2;6,16472075621508
"2017";4;"evenness";"obs";2;5,26619027652988
"2018";4;"evenness";"obs";2;3,90753027622443
"2019";4;"evenness";"obs";2;2,0493866411089
"2016";5;"evenness";"obs";2;5,33870309171362
"2017";5;"evenness";"obs";2;4,47052479934792
"2018";5;"evenness";"obs";2;4,11347709555905
"2019";5;"evenness";"obs";2;1,4981797505366
"2016";6;"evenness";"obs";2;5,29117709279905
"2017";6;"evenness";"obs";2;4,93072659216159
"2018";6;"evenness";"obs";2;3,84157310591357
"2019";6;"evenness";"obs";2;1,76084559727231
"2016";7;"evenness";"obs";2;1,83066682023747
"2017";7;"evenness";"obs";2;5,57314519881446
