Paper Key #,First Author,Year,Data.Extractor,Response variable,Greenhouse or field experiment,Ecosystem,Longterm (>1 season),Manipulated or natural densities?,Focal.Species,Focal.Lifestage,Focal.Form,Focal.Origin,Comp.Species,Comp.Lifestage,Comp.Form,Comp.Origin,treatment,nonsig.zero,competition coefficient,Negative coefs mean competition,standard error of coefficient,Description of Uncertainty Metric,P Value,DF,CI lower,CI upper,Comments
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Populus tremuloides,Adult,Tree,Native,Populus tremuloides,Adult,Tree,Native,NA,0,0.28,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Populus tremuloides,Adult,Tree,Native,Betula papyrifera,Adult,Tree,Native,NA,0,0.79,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Populus tremuloides,Adult,Tree,Native,Abies balsamea,Adult,Tree,Native,NA,0,1,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Populus tremuloides,Adult,Tree,Native,Other conifers,Adult,Tree,Native,NA,0,0.37,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Populus tremuloides,Adult,Tree,Native,Other broadleaves,Adult,Tree,Native,NA,0,0.56,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Betula papyrifera,Adult,Tree,Native,Prunus pensylvanica,Adult,Tree,Native,NA,0,0.41,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Betula papyrifera,Adult,Tree,Native,Populus tremuloides,Adult,Tree,Native,NA,0,0.09,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Betula papyrifera,Adult,Tree,Native,Betula papyrifera,Adult,Tree,Native,NA,0,1,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Betula papyrifera,Adult,Tree,Native,Abies balsamea,Adult,Tree,Native,NA,0,0.8,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Betula papyrifera,Adult,Tree,Native,Other conifers,Adult,Tree,Native,NA,0,1,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Betula papyrifera,Adult,Tree,Native,Other broadleaves,Adult,Tree,Native,NA,0,0.5,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Abies balsamea,Adult,Tree,Native,Prunus pensylvanica,Adult,Tree,Native,NA,0,0.33,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Abies balsamea,Adult,Tree,Native,Populus tremuloides,Adult,Tree,Native,NA,0,0.06,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Abies balsamea,Adult,Tree,Native,Betula papyrifera,Adult,Tree,Native,NA,0,0.45,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Abies balsamea,Adult,Tree,Native,Abies balsamea,Adult,Tree,Native,NA,0,1,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Abies balsamea,Adult,Tree,Native,Other conifers,Adult,Tree,Native,NA,0,0.7,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Abies balsamea,Adult,Tree,Native,Other broadleaves,Adult,Tree,Native,NA,0,0.3,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,-0.0233,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,-0.018,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,0.0217,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,0.0162,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.018,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.9466,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.0193,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.0016,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Poa secunda,all sizes,Grass,Native,NA,0,0.0217,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,0.0197,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-1.028,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,0.0216,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,0.0162,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,0.0064,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,0.0121,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Survival,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.1668,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,-0.0022,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,-0.0002,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,0,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,-0.0002,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,0.0264,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.096,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,0.0118,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.0039,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Poa secunda,all sizes,Grass,Native,NA,0,0.0148,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-0.006,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-0.1095,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-0.0016,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,0.0037,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.0026,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.0052,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Growth,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.0452,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,-0.0731,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,0.0224,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,0.0041,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Artemisia tripartita,all sizes,Shrub,Native,NA,0,0.0389,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.2425,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.5471,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.1155,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Hesperostipa comata,all sizes,Grass,Native,NA,0,-0.133,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Poa secunda,all sizes,Grass,Native,NA,0,-0.2911,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-0.2035,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-1.1114,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Poa secunda,all sizes,Grass,Native,NA,0,-0.1576,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Artemisia tripartita,all sizes,Shrub,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.036,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Hesperostipa comata,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.0541,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Poa secunda,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.0032,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
M86UTWRT,Adler,2010,Adler,Recruitment,Field,Steppe,Longterm,Natural,Pseudoroegneria spicata,all sizes,Grass,Native,Pseudoroegneria spicata,all sizes,Grass,Native,NA,0,-0.6007,Yes,,,,,,,"I can dig up the standard errors, but we didn't publish them..."
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Bouteloua curtipendula,all sizes,Grass,Native,Bouteloua curtipendula,all sizes,Grass,Native,NA,0,-12.72609953,Yes,,Bayesian 95% CI,,,-24.7805,-4.05885,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Bouteloua hirsuta,all sizes,Grass,Native,Bouteloua curtipendula,all sizes,Grass,Native,NA,0,-1.597470596,Yes,,Bayesian 95% CI,,,-6.666225,3.04815,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Schizachryium scoparium,all sizes,Grass,Native,Bouteloua curtipendula,all sizes,Grass,Native,NA,0,-2.525377791,Yes,,Bayesian 95% CI,,,-12.15425,5.406425,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Bouteloua curtipendula,all sizes,Grass,Native,Bouteloua hirsuta,all sizes,Grass,Native,NA,0,-9.14409165,Yes,,Bayesian 95% CI,,,-16.83175,-3.44935,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Bouteloua hirsuta,all sizes,Grass,Native,Bouteloua hirsuta,all sizes,Grass,Native,NA,0,-12.647258,Yes,,Bayesian 95% CI,,,-20.14075,-6.633875,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Schizachryium scoparium,all sizes,Grass,Native,Bouteloua hirsuta,all sizes,Grass,Native,NA,0,-13.56903005,Yes,,Bayesian 95% CI,,,-53.95775,2.812425,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Bouteloua curtipendula,all sizes,Grass,Native,Schizachryium scoparium,all sizes,Grass,Native,NA,0,-8.9984452,Yes,,Bayesian 95% CI,,,-17.5705,-2.944475,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Bouteloua hirsuta,all sizes,Grass,Native,Schizachryium scoparium,all sizes,Grass,Native,NA,0,-15.8161805,Yes,,Bayesian 95% CI,,,-30.6705,-6.466875,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
KP86SAA2,Adler,2006,Adler,Survival,Field,Grassland,Longterm,Natural,Schizachryium scoparium,all sizes,Grass,Native,Schizachryium scoparium,all sizes,Grass,Native,NA,0,-1.546713874,Yes,,Bayesian 95% CI,,,-18.542,11.97525,"I called this ""survival"" but it is really cell occupancy, biological interpretation is tricky; also, I used temporal means of these coefficients, annual estimates are also available "
Z2QCNSKD,Geijzendorffer,2011,Tredennick,Population Growth,Field,Grassland,Short term,Manipulated,Agrostis stolonifera,all sizes,Grass,Native,Agrostis stolonifera,all sizes,Grass,Native,spring,0,1.28,No,,None,,,,,"There are three sets per focal species, representing models fit to data from three different seasons"
Z2QCNSKD,Geijzendorffer,2011,Tredennick,Population Growth,Field,Grassland,Short term,Manipulated,Agrostis stolonifera,all sizes,Grass,Native,Lolium perenne,all sizes,Grass,Native,spring,0,-0.15,No,,None,,,,,"There are three sets per focal species, representing models fit to data from three different seasons"
Z2QCNSKD,Geijzendorffer,2011,Tredennick,Population Growth,Field,Grassland,Short term,Manipulated,Agrostis stolonifera,all sizes,Grass,Native,Phleum pratense,all sizes,Grass,Native,spring,0,-0.1,No,,None,,,,,"There are three sets per focal species, representing models fit to data from three different seasons"
